"Name,Phenylalanine,Protein,Carbohydrates,Total_fat,Calories,Home_measure,Home_phenylalanine,Home_weight,Category,Color"
"Namine antis (šviežia),459,13.5,0.2,28.4,310,5 cm skersmens ir 1 cm storio gabaliukas,115,25,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Vištienos file (šviežia),916,23.6,0.3,0.9,104,5 cm skersmens ir 1 cm storio gabaliukas,229,25,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Višciuku sparneliai(švieži),696,19.2,12.2,187,1 vnt.,278,40,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Višciuku kepenys(šviežios),824,20.2,1.2,4.0,122,2 vnt.,165,20,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Karpiai (Švieži),696,17.1,0.1,6.0,123,5 cm skersmens ir 1 cm storio gabaliukas,139,20,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Tunai (konservuoti aliejuje),1036,29.1,0,8.2,198,1/4 dežutes,311,30,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Lašišos,777,19.9,0,13.6,202,5 cm skersmens ir 1 cm storio gabaliukas,155,20,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Vištu kiaušiniai,737,12.7,0.8,11,152,1 vnt.,442,60,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Kiaušiniu tryniai,696,16.2,0.3,31.1,342,1 kiaušinio,104,15,Mesa Paukštiena Žuvis Kiaušiniai,Geltona"
"Kiaušiniu baltymai,667,10.7,0.8,0.2,48,1 kiaušinio,133,20,Mesa Paukštiena Žuvis Kiaušiniai,Raudona"
"Alyvu aliejus,0,0.1,0.2,99.5,883,1 a. š.,0,5,Aliejai Riebalai,Žalia"
"Margarinas,9,0.2,0.4,80.3,712,1 a. š.,0.4,5,Aliejai Riebalai,Žalia"
"Sviestas,31,0.7,0.6,82.8,737,1 a. š.,1,3,Aliejai Riebalai,Geltona"
"Saulegražu aliejus,0,0.1,0.1,99.8,884,1 a. š.,0,5,Aliejai Riebalai,Žalia"
"Žasu taukai,0,0,0,100,883,1 a. š.,0,3,Aliejai Riebalai,Žalia"
"Kakavos sviestas,0,0,0,99.6,880,1 a. š.,0,3,Aliejai Riebalai,Žalia"
"Palmiu kokosu riebalai,0,0,0,100,900,1 a. š.,0,3,Aliejai Riebalai,Žalia"
"Kiaules taukai,4,0.1,0,99.7,881,1 a. š.,0.1,3,Aliejai Riebalai,Žalia"
"Sezamu aliejus,9,0.2,0,99.7,881,1 a. š.,0.4,5,Aliejai Riebalai,Žalia"
"Soju aliejus,0,0,0,99.3,877,1 a. š.,0,5,Aliejai Riebalai,Žalia"
"Cukrus,0,0,99.8,0,405,1 nubrauktas a. š.,0,5,Cukrus Cukraus produktai Medus,Žalia"
"Biciu medus,0,0.3,79.5,0,324,1 a. š.,0,5,Cukrus Cukraus produktai Medus,Žalia"
"Apelsinu džemas,13,0.3,39.2,0.1,159,1 nubrauktas a. š.,1,10,Cukrus Cukraus produktai Medus,Geltona"
"Abrikosu džemas,11,0.4,38.8,0.1,157,1 nubrauktas a. š.,1,10,Cukrus Cukraus produktai Medus,Geltona"
"Braškiu džemas,10,0.3,37.8,0.1,153,1 nubrauktas a. š.,1,10,Cukrus Cukraus produktai Medus,Geltona"
"Juoduju serbentu džemas,13,0.5,39.6,0.1,152,1 nubrauktas a. š.,1,10,Cukrus Cukraus produktai Medus,Geltona"
"Persiku džemas,15,0.5,38.3,0.1,155,1 nubrauktas a. š.,1,10,Cukrus Cukraus produktai Medus,Geltona"
"Uogu džemas,16,0.3,38.2,0.2,153,1 nubrauktas a. š.,2,10,Cukrus Cukraus produktai Medus,Geltona"
"Slyvu marmeladas,31,1.0,53.0,0.2,214,1 nubrauktas a. š.,3,10,Cukrus Cukraus produktai Medus,Geltona"
"Slyvu džemas,9,0.3,37.9,0.1,153,1 nubrauktas a. š.,1,10,Cukrus Cukraus produktai Medus,Geltona"
"Vyšniu džemas,9,0.4,37.5,0.2,154,1 nubrauktas a. š.,1,10,Cukrus Cukraus produktai Medus,Geltona"
"Desertinis šokoladas,264,5.3,64.0,28.9,513,1 a. š.,13,5,Cukrus Cukraus produktai Medus,Raudona"
"Juodasis šokoladas,334,6.7,56.6,34.3,554,Gabaliukas,17,5,Cukrus Cukraus produktai Medus,Raudona"
"Pieniškasis šokoladas,465,9.8,54.7,32.8,549,Gabaliukas,23,5,Cukrus Cukraus produktai Medus,Raudona"
"Irisai (saldainiai),196,4.3,76.1,10.7,421,1 vnt.,17,8,Cukrus Cukraus produktai Medus,Raudona"
"Garstycios,240,5.2,0,0,240,1 a.š.,12,5,Kiti maisto produktai,Raudona"
"Pomidoru padažas(kecupas),62,1.8,22.2,1.0,93,1 a. š.,3,5,Kiti maisto produktai,Geltona"
"Pomidoru koncentratas 30%,166,5.6,16.7,1.5,92,1 a. š.,8,5,Kiti maisto produktai,Geltona"
"Kakavos milteliai 16 %,872,18.2,50.6,21.7,448,1 a. š.,44,5,Kiti maisto produktai,Raudona"
"Mieles,1861,14.8,8.0,1.3,76,1 a. š.,93,5,Kiti maisto produktai,Raudona"
"Želatina,1737,89.5,0,0,263,1 a. š.,87,5,Kiti maisto produktai,Raudona"
"Bulviu traškuciai,318,7.1,66.9,20.8,471,1 vnt.,13,4,Kiti maisto produktai,Raudona"
"Ryžiu pienas,5,0.1,9.4,1,70,Stikline,10,140,Kiti maisto produktai,Geltona"
"Majonezas,39,1.2,8.5,32.5,334,1 a.š.,2,5,Kiti maisto produktai,Geltona"
